title,id,link,price,description,stars,reviews
Acer Extensa 15 (2540) Black,565,/test-sites/e-commerce/allinone/product/565,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",4,6
Acer Aspire ES1-572 Black,566,/test-sites/e-commerce/allinone/product/566,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",1,9
Lenovo V110-15ISK,567,/test-sites/e-commerce/allinone/product/567,$454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2,2
Acer Aspire A315-51-33TG,568,/test-sites/e-commerce/allinone/product/568,$457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",3,9
Lenovo V110-15IKB,569,/test-sites/e-commerce/allinone/product/569,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",1,7
Asus VivoBook 15 X540UA-DM260 Chocolate Black,570,/test-sites/e-commerce/allinone/product/570,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",3,1
Acer Aspire ES1-572 Black,571,/test-sites/e-commerce/allinone/product/571,$469.10,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",3,5
Lenovo V510 Black,572,/test-sites/e-commerce/allinone/product/572,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",3,8
Acer Aspire ES1-572 Black,573,/test-sites/e-commerce/allinone/product/573,$485.90,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",3,6
Lenovo V510 Black,574,/test-sites/e-commerce/allinone/product/574,$487.80,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",2,9
Acer Swift 1 SF113-31 Silver,575,/test-sites/e-commerce/allinone/product/575,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",3,4
Dell Vostro 15,531,/test-sites/e-commerce/allinone/product/531,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",4,14
Acer Aspire 3 A315-51 Black,576,/test-sites/e-commerce/allinone/product/576,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",4,2
Dell Vostro 15 (3568) Red,577,/test-sites/e-commerce/allinone/product/577,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",1,9
Lenovo V510 Black,578,/test-sites/e-commerce/allinone/product/578,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",3,5
HP 250 G3,527,/test-sites/e-commerce/allinone/product/527,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",2,13
Acer Spin 5,532,/test-sites/e-commerce/allinone/product/532,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",2,0
HP 350 G1,529,/test-sites/e-commerce/allinone/product/529,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",2,10
Aspire E1-572G,521,/test-sites/e-commerce/allinone/product/521,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",1,2
Pavilion,523,/test-sites/e-commerce/allinone/product/523,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",1,4
Acer Aspire A515-51-5654,533,/test-sites/e-commerce/allinone/product/533,$679.00,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",2,9
Dell Inspiron 15,534,/test-sites/e-commerce/allinone/product/534,$679.00,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",2,7
Asus VivoBook S14,535,/test-sites/e-commerce/allinone/product/535,$729.00,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",1,2
ProBook,519,/test-sites/e-commerce/allinone/product/519,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",4,8
Inspiron 15,524,/test-sites/e-commerce/allinone/product/524,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",3,12
Asus ROG STRIX GL553VD-DM256,536,/test-sites/e-commerce/allinone/product/536,$799.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",2,7
Acer Nitro 5 AN515-51,537,/test-sites/e-commerce/allinone/product/537,$809.00,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",1,0
Asus ROG STRIX GL553VD-DM256,538,/test-sites/e-commerce/allinone/product/538,$899.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",1,7
Lenovo ThinkPad L570,539,/test-sites/e-commerce/allinone/product/539,$999.00,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",3,11
ThinkPad Yoga,522,/test-sites/e-commerce/allinone/product/522,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",2,13
Lenovo ThinkPad L460,579,/test-sites/e-commerce/allinone/product/579,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",4,14
Dell Inspiron 15 (7567) Black,580,/test-sites/e-commerce/allinone/product/580,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",1,7
MSI GL72M 7RDX,581,/test-sites/e-commerce/allinone/product/581,$1099.00,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",4,1
MSI GL72M 7RDX,582,/test-sites/e-commerce/allinone/product/582,$1099.00,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",1,9
Asus ROG Strix GL553VD-DM535T,583,/test-sites/e-commerce/allinone/product/583,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",2,4
Dell Latitude 5280,584,/test-sites/e-commerce/allinone/product/584,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",1,8
Dell Latitude 5480,585,/test-sites/e-commerce/allinone/product/585,$1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",3,4
Lenovo Legion Y520-15IKBM,586,/test-sites/e-commerce/allinone/product/586,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",4,1
Toshiba Portege Z30-C-16J Grey,587,/test-sites/e-commerce/allinone/product/587,$1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",1,0
Acer Predator Helios 300 (PH317-51),588,/test-sites/e-commerce/allinone/product/588,$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",2,1
Acer Aspire 7 A715-71G,589,/test-sites/e-commerce/allinone/product/589,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",2,4
Dell Inspiron 17 2in1 (7779) Silver,590,/test-sites/e-commerce/allinone/product/590,$1124.20,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",3,10
Dell Latitude 5480,591,/test-sites/e-commerce/allinone/product/591,$1133.82,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",4,14
Lenovo Legion Y520,592,/test-sites/e-commerce/allinone/product/592,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",1,13
Asus AsusPro Advanced BU401LA-FA271G Dark Grey,593,/test-sites/e-commerce/allinone/product/593,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",3,7
Acer Nitro 5 AN515-51,594,/test-sites/e-commerce/allinone/product/594,$1140.62,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",3,14
Dell Latitude 5480,595,/test-sites/e-commerce/allinone/product/595,$1143.40,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",4,5
Dell Inspiron 15 (7567) Black,596,/test-sites/e-commerce/allinone/product/596,$1144.20,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",1,2
Dell Latitude 5580,597,/test-sites/e-commerce/allinone/product/597,$1144.40,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",3,10
Lenovo Legion Y520-15IKBM,540,/test-sites/e-commerce/allinone/product/540,$1149.00,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",3,11
MSI GP62M 7RDX Leopard,598,/test-sites/e-commerce/allinone/product/598,$1149.00,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",1,11
Lenovo Yoga 720 Grey,599,/test-sites/e-commerce/allinone/product/599,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",2,12
Toshiba Portege Z30-C-16L Grey,600,/test-sites/e-commerce/allinone/product/600,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",1,7
Acer TravelMate P645-S-511A Black,601,/test-sites/e-commerce/allinone/product/601,$1170.10,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",1,0
Dell Latitude 5580,602,/test-sites/e-commerce/allinone/product/602,$1178.19,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",3,6
ThinkPad T540p,518,/test-sites/e-commerce/allinone/product/518,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",1,2
MSI GS63 7RD Stealth,603,/test-sites/e-commerce/allinone/product/603,$1179.00,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",1,2
Dell Latitude 5480,604,/test-sites/e-commerce/allinone/product/604,$1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",3,5
Acer Predator Helios 300 (PH317-51),605,/test-sites/e-commerce/allinone/product/605,$1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",3,14
MSI GL62M 7REX,606,/test-sites/e-commerce/allinone/product/606,$1199.00,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",1,7
MSI GL62M 7REX2,607,/test-sites/e-commerce/allinone/product/607,$1199.00,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",2,12
Lenovo Yoga 910 Grey,608,/test-sites/e-commerce/allinone/product/608,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",3,7
Toshiba Portege X30-D-10J Black/Blue,609,/test-sites/e-commerce/allinone/product/609,$1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",4,13
Lenovo IdeaPad Miix 510 Platinum Silver,610,/test-sites/e-commerce/allinone/product/610,$1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",4,0
Acer Predator Helios 300 (PH317-51),611,/test-sites/e-commerce/allinone/product/611,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",1,9
ThinkPad Yoga,528,/test-sites/e-commerce/allinone/product/528,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",3,2
Asus VivoBook Pro 15 N580VN-FI006T Gold Metal,612,/test-sites/e-commerce/allinone/product/612,$1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",2,10
Dell Latitude 5480,613,/test-sites/e-commerce/allinone/product/613,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",2,0
Asus ZenBook UX530UX-FY040T Blue,614,/test-sites/e-commerce/allinone/product/614,$1239.20,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",1,14
ThinkPad X230,526,/test-sites/e-commerce/allinone/product/526,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",3,10
Asus ROG Strix GL753VE-GC096T,615,/test-sites/e-commerce/allinone/product/615,$1259.00,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",4,7
"Apple MacBook Air 13""",616,/test-sites/e-commerce/allinone/product/616,$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",4,8
Dell Latitude 5480,617,/test-sites/e-commerce/allinone/product/617,$1271.06,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",1,13
Hewlett Packard Spectre 13-v106na Dark Ash Silver,618,/test-sites/e-commerce/allinone/product/618,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",3,8
Dell XPS 13,525,/test-sites/e-commerce/allinone/product/525,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",3,4
Toshiba Portege Z30-C-16K Grey,619,/test-sites/e-commerce/allinone/product/619,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",1,6
MSI GL62VR 7RFX,620,/test-sites/e-commerce/allinone/product/620,$1299.00,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",3,1
Dell Latitude 5480,621,/test-sites/e-commerce/allinone/product/621,$1310.39,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",3,8
ThinkPad X240,520,/test-sites/e-commerce/allinone/product/520,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",3,12
Hewlett Packard ProBook 640 G3,622,/test-sites/e-commerce/allinone/product/622,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",1,2
"Apple MacBook Pro 13"" Space Gray",623,/test-sites/e-commerce/allinone/product/623,$1333.00,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",1,0
Dell Latitude 5580,624,/test-sites/e-commerce/allinone/product/624,$1337.28,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",1,6
Dell Latitude 5480,625,/test-sites/e-commerce/allinone/product/625,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",2,11
Dell Latitude 5580,626,/test-sites/e-commerce/allinone/product/626,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",3,3
"Apple MacBook Air 13""",627,/test-sites/e-commerce/allinone/product/627,$1347.78,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",2,11
Lenovo ThinkPad T470,628,/test-sites/e-commerce/allinone/product/628,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",1,5
Lenovo ThinkPad Yoga 370 Black,629,/test-sites/e-commerce/allinone/product/629,$1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",2,12
Toshiba Portege X20W-D-10V Black/Blue,630,/test-sites/e-commerce/allinone/product/630,$1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",1,11
Asus ASUSPRO B9440UA-GV0279R Gray,631,/test-sites/e-commerce/allinone/product/631,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",1,4
Lenovo Legion Y720,541,/test-sites/e-commerce/allinone/product/541,$1399.00,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",3,8
Asus ROG Strix GL702VM-GC146T,632,/test-sites/e-commerce/allinone/product/632,$1399.00,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",3,10
Asus ROG Strix GL702ZC-GC154T,542,/test-sites/e-commerce/allinone/product/542,$1769.00,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",4,7
Asus ROG Strix GL702ZC-GC209T,543,/test-sites/e-commerce/allinone/product/543,$1769.00,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",1,8
Asus ROG Strix SCAR Edition GL503VM-ED115T,544,/test-sites/e-commerce/allinone/product/544,$1799.00,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",3,8
